id,node_id,explanation
1006517c-6373-4a57-a95d-2096e719a207,7ebbc047_u2_t4_s3,Real-world use: combine movie and TV show casts. Example: SELECT actor_name FROM movie_cast UNION SELECT actor_name FROM tv_cast gives all unique performers across both media. Add WHERE clauses inside each SELECT to filter before combining.
37ad7191-7b95-4beb-b261-ac56eb8c7226,7ebbc047_u2_t5_s1,Each individual SELECT in a set operation cannot have its own ORDER BY. Only one ORDER BY is allowed and it goes after the final SELECT. Example: SELECT name FROM A UNION SELECT name FROM B ORDER BY name — placing ORDER BY before UNION causes a syntax error.
be39a738-a1f5-4123-b0e4-1af41e8af1d9,7ebbc047_u2_t5_s2,"ORDER BY in a set operation should use column names from the first SELECT or column positions (1, 2, 3...). Example: If both SELECTs return (name, score), use ORDER BY 2 DESC to sort by score without ambiguity across both queries."
d415330b-00ff-450d-96c9-2500a819db51,7ebbc047_u2_t5_s3,"LIMIT and OFFSET paginate the final combined result, not individual SELECTs. Example: SELECT city FROM us_cities UNION SELECT city FROM uk_cities ORDER BY city LIMIT 10 OFFSET 20 fetches cities 21–30 from the alphabetically sorted combined list."
d9f7b52b-bb4d-4dd3-aacf-c4fff35ae990,7ebbc047_u3_t1_s1,"SQL supports +, -, *, / and % (modulo) for numeric calculations. Division of integers may truncate — use CAST to get decimals. Example: SELECT total_price / quantity AS unit_price FROM orders calculates per-unit cost; SELECT order_id % 2 AS is_even checks if order ID is even."
a01a8bcb-2540-4cce-8fd2-c3e807edcc77,7ebbc047_u3_t1_s2,Mixing data types in expressions follows implicit conversion rules. INT + FLOAT gives FLOAT. Adding a number to a string may error or concatenate depending on DBMS. Example: SELECT 5 + 2.5 returns 7.5 in most DBMS; SELECT '10' + 5 may return 15 or error.
4f2a3078-ae7f-4ce3-af04-dcfa84fda20c,7ebbc047_u3_t1_s3,The || operator joins two string values into one. Some DBMS use CONCAT() function instead. Example: SELECT first_name || ' ' || last_name AS full_name FROM employees combines first and last name into a single readable full name column.
55990c3a-f89b-44d1-841a-efd2b0ce5f1c,7ebbc047_u3_t2_s1,"In SELECT, expressions create derived columns without storing new data. AS gives the derived column a readable name. Example: SELECT name, salary * 12 AS annual_salary FROM employees computes yearly pay on the fly from monthly salary stored in the table."
f605f493-3bea-4b53-83bb-f835c5982484,7ebbc047_u3_t2_s2,WHERE can use arithmetic expressions to filter rows. Example: WHERE price * quantity > 1000 filters orders where the line total exceeds 1000. This avoids creating a stored computed column just for filtering.
d6a5ed6c-65e6-4d14-924d-fb00da6600d7,7ebbc047_u3_t2_s3,UPDATE can use expressions on the right-hand side to compute new values based on existing data. Example: UPDATE accounts SET balance = balance - 500 WHERE account_id = 42 deducts 500 from a specific account without first reading the balance.
11f19eb1-209c-4649-8876-566d262cb942,7ebbc047_u3_t2_s4,"HAVING filters grouped results using aggregate expressions. Example: SELECT dept, AVG(salary) AS avg_sal FROM employees GROUP BY dept HAVING AVG(salary) > 60000 shows only departments where the average salary exceeds 60k."
b3f320a9-2c14-430d-8058-d7ee2cc30925,7ebbc047_u3_t3_s1,"strftime(format, datetime_value) returns the formatted string. %Y = 4-digit year, %m = 2-digit month, %d = 2-digit day, %H = hour. Example: strftime('%Y-%m', created_at) returns '2024-03' — useful for grouping data by month in analytics queries."
7e0cfdb4-2420-48e2-80b8-5349b442d86b,7ebbc047_u3_t3_s2,"strftime results can be used in WHERE to filter by year or month, and in GROUP BY to aggregate by time period. Example: WHERE strftime('%Y', sale_date) = '2023' filters 2023 sales; GROUP BY strftime('%m', sale_date) groups by calendar month."
0391d23a-2a2c-47f1-9744-de8693aa7cf8,7ebbc047_u3_t3_s3,"Monthly and annual reports are common use cases. Example: SELECT strftime('%Y-%m', order_date) AS month, SUM(amount) AS revenue FROM orders GROUP BY month ORDER BY month generates a month-by-month revenue trend report."
5fe77dc5-fb39-4599-806a-3f692ea46458,7ebbc047_u3_t4_s1,"CAST takes any expression and converts it to the specified type. Common targets: INT, FLOAT, TEXT, DATE. Example: SELECT CAST(price AS INT) FROM products truncates decimal prices to whole numbers — useful for bucketing or integer arithmetic."
a668065a-19c8-4159-b4c7-f63d64e770ca,7ebbc047_u3_t4_s2,"strftime always returns a string. To compare years or months numerically, cast to INT. Example: WHERE CAST(strftime('%Y', sale_date) AS INT) >= 2022 correctly filters rows from 2022 onwards; without CAST, string comparison '9' > '10' could give wrong results."
1f9f177d-281f-4372-ad88-6e217dd5d58f,7ebbc047_u3_t4_s3,"Cast when comparing a string column to a number, or when arithmetic needs proper numeric types. Example: GROUP BY CAST(score AS INT) groups decimal scores by their integer part, useful for histogram-style breakdowns in score distribution reports."
f904aeb8-606d-465c-a2dd-f5d1a872a511,7ebbc047_u3_t5_s1,"FLOOR rounds a number down to the nearest integer; CEIL rounds up. Example: FLOOR(4.9) = 4, CEIL(4.1) = 5. Use FLOOR(price/10)*10 to group prices into decade buckets (0–9, 10–19 etc.) for price-range analysis."
feb74567-d374-4745-9265-cd8e4da2f632,7ebbc047_u3_t5_s2,"ROUND(x, n) rounds x to n decimal places. ROUND(x, 0) rounds to the nearest integer. Example: ROUND(AVG(rating), 1) rounds average product rating to one decimal, like 4.3, making it suitable for display in a product listing page."
b372c480-be94-41f5-b93d-cfcfd34baa5d,7ebbc047_u3_t5_s3,"Combine ROUND, FLOOR and CEIL with aggregates for clean report output. Example: SELECT player, ROUND(AVG(score), 2) AS avg_score FROM matches GROUP BY player produces a neat leaderboard with averages rounded to 2 decimal places."
1ae0ce70-e584-4cb8-8175-799848a81197,7ebbc047_u3_t6_s1,"UPPER() converts text to all caps; LOWER() converts to all lowercase. Using LOWER(column) in WHERE ensures comparisons are case-insensitive. Example: WHERE LOWER(city) = 'london' matches 'London', 'LONDON' and 'london' all at once in the database."
a8faa4ba-51aa-404c-8e1f-e9fd084a7917,7ebbc047_u3_t6_s2,"Wrap columns in LOWER() before LIKE to search case-insensitively. Example: WHERE LOWER(product_name) LIKE '%shirt%' finds 'T-Shirt', 'SHIRT', 'shirt' etc. This is useful when user input might be in any case and data is inconsistently stored."
7b360d34-60de-4948-bd8f-add83d110fd8,7ebbc047_u3_t6_s3,"String functions can reformat data for display. Example: SELECT UPPER(country_code) AS code FROM countries ensures codes like 'us' or 'Us' all appear as 'US' in reports, regardless of how they were originally stored."
a45c3b13-f4bb-4bc8-bca9-bdbad136327f,7ebbc047_u4_t1_s1,"All rows with the same value in the GROUP BY column form one group. The aggregate runs once per group, producing one output row per group. Example: GROUP BY country on a sales table creates one group per country so SUM(sales) gives country-level totals."
ac6a0f9c-1996-4d01-8408-cd25989fdda9,7ebbc047_u4_t1_s2,"In SELECT, every non-aggregate column must appear in GROUP BY. Example: SELECT category, COUNT(*) AS item_count FROM products GROUP BY category counts items per category; listing price in SELECT without GROUP BY causes an error in strict DBMS."
4260bcfe-a30d-4bda-8208-6745baf946f0,7ebbc047_u4_t1_s3,"GROUP BY enables segment-level analytics instead of one big total. Example: SELECT brand, AVG(price) FROM products GROUP BY brand shows average price per brand — more useful than a single overall average for understanding pricing strategy."
6dcad24c-8c53-40cc-8676-378310f517ae,7ebbc047_u4_t2_s1,"A multi-column GROUP BY treats each distinct combination as a separate group. Example: GROUP BY student_name, subject groups separately for 'Alice - Math', 'Alice - Science', 'Bob - Math' so you can compute each student's per-subject average."
5d51107f-3682-4d21-a93a-f8e76980c72d,7ebbc047_u4_t2_s2,"Simply list the columns separated by commas. Both columns must either appear in SELECT or be used in an aggregate. Example: SELECT player, year, SUM(score) FROM matches GROUP BY player, year gives total runs per player per year across all matches."
a8d2dd6c-f454-430b-bad5-600fb993eb60,7ebbc047_u4_t2_s3,"Classic cricket analytics query: SELECT player, year, SUM(score) AS total_runs FROM matches GROUP BY player, year ORDER BY year, total_runs DESC. This groups by the unique player-year pair and sums scores, giving a season-by-season scorecard for every player."
095781d2-fa11-4854-b8e4-54361f82f018,7ebbc047_u4_t3_s1,"The WHERE clause is evaluated first, excluding non-matching rows from grouping. The aggregate then only sees the filtered subset. Example: WHERE department = 'Sales' before GROUP BY region ensures only sales team rows are counted per region."
0896159a-1017-4cf1-af80-b45a5205c400,7ebbc047_u4_t3_s2,"Place WHERE before GROUP BY in the query. Execution order: FROM → WHERE → GROUP BY → SELECT. Example: SELECT category, SUM(price) FROM products WHERE in_stock = 1 GROUP BY category sums only in-stock items per category."
532fadbd-c383-49db-bb48-7a49d7759fac,7ebbc047_u4_t3_s3,"SELECT player, COUNT(*) AS half_centuries FROM innings WHERE score >= 50 GROUP BY player — WHERE filters to only innings of 50+ runs, then GROUP BY player counts how many such innings each player has, producing a half-century tally per player."
60bfa079-b6f5-4562-9cc9-48e05ff8c0be,7ebbc047_u4_t4_s1,"SELECT player_name, SUM(score) AS total_score FROM matches GROUP BY player_name returns one row per player with their cumulative score. This is useful for building leaderboards or ranking players by total contribution."
96d89fcf-a855-4d4b-9497-ba593c6e6b6d,7ebbc047_u4_t4_s2,"SELECT player, MAX(score) AS best_score, AVG(score) AS avg_score FROM matches GROUP BY player gives each player's best single performance and their overall average — helpful for talent assessment reports."
c6b7198d-6d20-4454-8a21-a07a901e47f8,7ebbc047_u4_t4_s3,"SELECT player, SUM(sixes) AS total_sixes FROM innings GROUP BY player counts six-hits per player. Alternatively, COUNT(*) counts innings played. These patterns generalize to counting purchases per customer or tickets per event."
222fc250-2f9a-4fbd-a504-ead5139b6130,7ebbc047_u5_t1_s1,HAVING is evaluated after GROUP BY computes aggregates. It removes groups whose aggregate values do not satisfy the condition. Example: HAVING SUM(sales) > 100000 keeps only regions where total sales exceed 100k — impossible to do with WHERE on individual rows.
25a4261d-5614-4a37-8fe6-a8ae9acf94fb,7ebbc047_u5_t1_s2,"HAVING follows GROUP BY in the query. Example: SELECT dept, COUNT(*) AS headcount FROM employees GROUP BY dept HAVING COUNT(*) >= 10 lists only departments with 10 or more employees, filtering out smaller teams."
110186c1-f5ef-4f8a-9ae8-bc5621bd8c0b,7ebbc047_u5_t1_s3,Any aggregate function valid in SELECT can be used in HAVING. Example: HAVING AVG(rating) > 4 filters product categories where the average customer rating exceeds 4 stars — a common e-commerce quality filter.
c29ed65c-e223-4bef-8241-08cb18d91cd3,7ebbc047_u5_t2_s1,WHERE runs before aggregation and excludes entire rows. Use it to filter on non-aggregated column values. Example: WHERE country='India' before GROUP BY city limits the analysis to Indian cities only before counting or summing.
9d241ef0-c50b-4682-8265-cb3b492bdeac,7ebbc047_u5_t2_s2,HAVING runs after GROUP BY and filters based on group-level results. Use it when the filter depends on an aggregate value. Example: HAVING MAX(price) > 500 keeps only product categories that have at least one item priced above 500.
801e6c9c-50b5-4990-976b-809e364c888f,7ebbc047_u5_t2_s3,"Logical execution order: FROM → WHERE (filter rows) → GROUP BY (form groups) → aggregate → HAVING (filter groups) → SELECT. Example: SELECT player, AVG(score) FROM matches WHERE format='T20' GROUP BY player HAVING AVG(score) > 30 finds T20 players averaging above 30."
dd2dcaff-a579-4c51-9571-eef8a0f05480,7ebbc047_u5_t3_s1,"SELECT player, COUNT(*) AS half_centuries FROM innings WHERE score >= 50 GROUP BY player HAVING COUNT(*) > 1 returns players who have scored 50+ runs in more than one inning. HAVING is needed because COUNT(*) > 1 is a group-level condition."
88531e9f-9e53-4962-aa55-535219da5e8d,7ebbc047_u5_t3_s2,"Common patterns: HAVING COUNT(*) >= 3 (active users), HAVING SUM(amount) > 10000 (big-spending customers), HAVING AVG(score) < 30 (struggling players). Example: SELECT vendor, SUM(order_value) AS total FROM orders GROUP BY vendor HAVING SUM(order_value) > 50000 shows high-value vendors."
f2af2c1e-73a5-4da8-8381-42184de44bf4,7ebbc047_u6_t1_s1,"Data is raw facts or values — numbers, text, dates — that on their own may not have meaning. When organized, data becomes information. Example: '92', 'Alice', '2024-01-15' are individual data points; combined as a student exam record they become meaningful information."
012f86c5-233a-407b-a979-204b985ee14e,7ebbc047_u6_t1_s2,"A database is an organized, structured collection of related data stored so it can be easily accessed, managed and updated. Example: An e-commerce database stores tables for customers, orders and products, all linked so that an order row references the correct customer and product."
1c15a9e2-0ff0-48bc-8ad6-35ad49a84f5a,7ebbc047_u6_t1_s3,"A DBMS is the software layer between users/applications and the physical data files. It handles storage, querying, access control and backups. Example: MySQL is a DBMS; when your app runs SELECT * FROM users, MySQL finds and returns the data from disk."
21a8cbea-e8f8-4a58-955c-37c0c5c7fdcd,7ebbc047_u6_t2_s1,"DBMS controls who can access which data using roles and permissions. Sensitive data can be encrypted and access logs maintained. Example: A bank DBMS allows tellers to view account balances but not modify them, while only managers can approve large transfers."
be9ddd20-9265-4064-b3be-25dc18288d60,7ebbc047_u6_t2_s2,DBMS provides SQL as a standard language so users can query complex data without knowing how it is physically stored. Example: A marketing analyst writes SELECT SUM(sales) FROM orders without knowing which disk file stores the orders table.
86f4f429-e3c3-4727-8f3e-3d99118fa4fa,7ebbc047_u6_t2_s3,"DBMS ensures data is saved permanently even after crashes, using transaction logs and backups. Example: If a server crashes mid-transaction, the DBMS rolls back incomplete changes on restart so data remains consistent and nothing is half-written."
46236c3b-6acb-48d8-80f4-025a0ea2bceb,7ebbc047_u6_t2_s4,"DBMS uses indexing, caching and query optimization to serve data fast even at scale. Example: An index on user_id lets the DBMS find a specific user record in milliseconds from a table with millions of rows, instead of scanning every row."
f08e98b0-c220-4765-9510-893df7de5515,7ebbc047_u6_t3_s1,Relational databases store data in tables with rows and columns. Relationships are defined with keys. Example: A school database has a Students table and a Grades table linked by student_id — each grade row knows which student it belongs to.
864383fc-f6dd-480f-be44-e63134ed4b61,7ebbc047_u6_t3_s2,"Non-relational databases store data as documents, key-value pairs, graphs or time-series without a fixed table schema. Example: MongoDB stores a user profile as a JSON document with nested address and preferences fields — no need to split into multiple tables."
cb2f1231-9030-4ec8-a70c-8070291f7144,7ebbc047_u6_t3_s3,"Use relational DBMS when data is structured and relationships matter (finance, HR). Use non-relational when data is flexible or large-scale unstructured (social media, IoT). Example: An online shop uses PostgreSQL for orders but Redis for caching session data."
229adf04-4597-4797-b730-35ef84a689f2,7ebbc047_u6_t4_s1,Oracle Database is an enterprise-grade relational DBMS known for reliability and advanced features. Example: Large banks and telcos use Oracle for mission-critical transaction processing because it handles millions of transactions per day with high availability.
9a51729f-6a81-4e91-ad7f-af98cf9cd89f,7ebbc047_u6_t4_s2,"MySQL is an open-source relational DBMS widely used in web applications. Example: WordPress uses MySQL to store blog posts, comments and user accounts. It is known for ease of setup and strong community support."
b9c766d8-cd2e-4893-b459-a4d8c652de43,7ebbc047_u6_t4_s3,"PostgreSQL is an open-source, highly standards-compliant DBMS with advanced features like JSON support and full-text search. Example: Instagram uses PostgreSQL for its user data, leveraging its reliability and support for complex queries."
5a9b57ca-c219-44ad-9a10-6eb5e8658681,7ebbc047_u6_t4_s4,Microsoft SQL Server is a relational DBMS tightly integrated with Windows and Microsoft tools. Example: Many enterprise apps using .NET and Excel reports connect to SQL Server for data storage and business intelligence.
7df465ef-bb00-4a34-a804-f193b165e295,7ebbc047_u6_t4_s5,"SQLite is a lightweight, file-based relational DBMS embedded directly in apps — no separate server needed. Example: Mobile apps like WhatsApp use SQLite to store chat history locally on the device."
12ad077a-ffca-4c8a-af8a-30edbce7be37,7ebbc047_u6_t4_s6,IBM DB2 is an enterprise relational DBMS optimized for mainframes and large-scale analytics. Example: Airlines and insurance companies use DB2 for high-volume transaction systems that run 24/7.
2ff57b18-95a5-403e-8c7c-418c1558af57,7ebbc047_u6_t4_s7,"MongoDB stores data as flexible JSON-like documents. Great for hierarchical or variable-structure data. Example: A content management system stores articles with varying fields (some with images, some with videos) as MongoDB documents without schema changes."
f7d930c4-bbf3-49dc-8027-4ffea71bfe43,7ebbc047_u6_t4_s8,Cassandra is a distributed NoSQL database designed for massive scale and high write throughput. Example: Netflix uses Cassandra to store user viewing history across millions of users with no single point of failure.
f954685c-9f12-49a1-af43-e8bc06fd737a,7ebbc047_u6_t4_s9,Redis is an in-memory key-value store used mainly for caching and real-time data. Example: An e-commerce site uses Redis to cache product listings so pages load instantly without hitting the main database on every page view.
0736aedf-4209-4a13-9912-62621c544c30,7ebbc047_u6_t4_s10,Amazon DynamoDB is a fully managed NoSQL key-value database on AWS that scales automatically. Example: Amazon uses DynamoDB for shopping cart data — it handles millions of concurrent reads and writes with single-digit millisecond latency.
88a468ef-b6f3-447c-b221-b00947026b6b,7ebbc047_u6_t4_s11,CouchDB is a document-oriented database using HTTP/REST APIs and JSON documents with built-in replication. Example: An offline-capable mobile app uses CouchDB to sync data between device and server when connectivity is restored.
44c123cb-0f46-4b6d-9965-ef629ad92ef6,7ebbc047_u6_t4_s12,"Elasticsearch is a distributed search and analytics engine built on Lucene. Example: A job portal uses Elasticsearch to provide instant full-text search across millions of job listings, returning ranked results in milliseconds."
2a49f11b-1eee-4000-bd5b-bf78dbba1c4a,7ebbc047_u7_t1_s1,"SQL is a domain-specific language for managing relational databases. It covers data definition, manipulation and control. Example: SQL lets a data analyst retrieve last month's revenue or a developer create a new users table — all using the same language and database connection."
855cc157-9baf-4cff-8873-666efec9afe0,7ebbc047_u7_t1_s2,"In SQL, you describe the desired result, not the step-by-step procedure to compute it. The DBMS chooses the best execution plan. Example: SELECT * FROM orders WHERE total > 500 tells SQL 'give me big orders' — you do not write loops or file-reading code."
2da67a92-aca5-4ed9-8238-c143581abea6,7ebbc047_u7_t1_s3,"CRUD stands for Create, Read, Update, Delete — the four fundamental data operations. SQL covers all: INSERT (create), SELECT (read), UPDATE (update), DELETE (delete). Example: An e-commerce app uses INSERT when a user places an order, SELECT to show order history, UPDATE to change address and DELETE to cancel an order."
5eb0ab64-a7ba-41e9-be8f-90be347127dc,7ebbc047_u7_t1_s4,"The Read/Retrieve operation in SQL is performed with SELECT. It fetches rows from one or more tables based on conditions. Example: SELECT product_name, price FROM products WHERE stock > 0 retrieves all in-stock products for display in a web store."
80a633c1-1205-4844-9f7b-002971d29155,7ebbc047_u7_t1_s5,The Update operation uses UPDATE ... SET ... WHERE. It modifies existing rows. Example: UPDATE employees SET salary = salary * 1.05 WHERE department = 'Engineering' gives all engineers a 5% raise in one statement.
6229a577-a9b5-402b-bdab-95e82f7ed629,7ebbc047_u7_t1_s6,"The Delete operation removes rows using DELETE FROM ... WHERE. Without WHERE, all rows are deleted. Example: DELETE FROM sessions WHERE expires_at < NOW() cleans up expired login sessions from the sessions table."
b62c70ba-fd63-401b-92e5-c57a560b7b4e,7ebbc047_u7_t2_s1,INT (or INTEGER) stores whole numbers without decimals. Example: An orders table uses INT for quantity (you cannot order 2.5 items). Typical range: -2 billion to +2 billion. Use BIGINT for larger numbers like social media user counts.
175e1423-d48e-48ac-b9b9-ce97610f25a2,7ebbc047_u7_t2_s2,"FLOAT (or REAL, DOUBLE) stores numbers with decimal places. Example: A products table uses FLOAT for price so 19.99 is stored accurately. Be aware of floating-point precision issues for financial data — use DECIMAL instead."
69b2aa45-af0b-4e4b-a1eb-deb57ec9c7d2,7ebbc047_u7_t2_s3,"VARCHAR(n) stores variable-length strings up to n characters. It uses only as much space as the actual string. Example: VARCHAR(100) for an email column stores 'a@b.com' using 7 bytes, not 100, making it space-efficient for variable-length names and emails."
b980b64f-de14-47d0-8471-010b7a071193,7ebbc047_u7_t2_s4,TEXT stores strings of unlimited or very large length. Example: A blog posts table uses TEXT for the article body because articles can be thousands of words — far longer than what a VARCHAR(255) could hold.
710ce858-6b52-4196-921c-6c80461dafdc,7ebbc047_u7_t2_s5,DATE stores calendar dates in YYYY-MM-DD format without time. Example: A bookings table stores check_in_date as DATE so you can filter bookings with WHERE check_in_date BETWEEN '2024-06-01' AND '2024-06-30'.
c872769a-4033-45f3-b1d9-85de717ab984,7ebbc047_u7_t2_s6,TIME stores time of day in HH:MM:SS format without a date. Example: A restaurant reservation system stores reservation_time as TIME so queries like WHERE reservation_time BETWEEN '18:00' AND '21:00' find evening bookings.
9a763bb0-f987-4098-8f91-d4afc1ca2101,7ebbc047_u7_t2_s7,"DATETIME (or TIMESTAMP) stores both date and time. Example: An orders table uses DATETIME for created_at to record when each order was placed, enabling analyses like orders per hour and response-time calculations."
80d6b897-e0bd-4f4f-8844-ddbbd31adfb9,7ebbc047_u7_t2_s8,BOOLEAN stores true/false values. SQLite uses 1/0 integers. Example: A users table has is_active BOOLEAN; WHERE is_active = 1 fetches only active accounts. Some DBMS use TINYINT(1) as a stand-in for BOOLEAN.
