id,config_id,title,type,parent_id,explanation,sort_order
7ebbc047_u2,7ebbc047,SQL Case Clause & Set Operations,unit,,,2
7ebbc047_u2_t1,7ebbc047,CASE Clause Basics,topic,7ebbc047_u2,"The CASE clause adds conditional logic inside SQL queries, similar to if-else in programming. It evaluates conditions and returns different values. Example: CASE WHEN score >= 50 THEN 'Pass' ELSE 'Fail' END labels each student row without changing the table.",1
7ebbc047_u2_t1_s1,7ebbc047,CASE WHEN ... THEN ... ELSE ... END syntax,subtopic,7ebbc047_u2_t1,,1
7ebbc047_u2_t1_s2,7ebbc047,"Use of CASE in SELECT, WHERE, HAVING, ORDER BY, GROUP BY",subtopic,7ebbc047_u2_t1,,2
7ebbc047_u2_t1_s3,7ebbc047,ELSE behavior and NULL results,subtopic,7ebbc047_u2_t1,,3
7ebbc047_u2_t2,7ebbc047,CASE with Aggregates,topic,7ebbc047_u2,CASE inside aggregate functions enables conditional counting or summing within a single query — avoiding multiple passes. Example: COUNT(CASE WHEN status='Active' THEN 1 END) counts only active users while leaving others uncounted.,2
7ebbc047_u2_t2_s1,7ebbc047,COUNT(CASE WHEN ... THEN 1 END) pattern,subtopic,7ebbc047_u2_t2,,1
7ebbc047_u2_t2_s2,7ebbc047,Conditional aggregation per group,subtopic,7ebbc047_u2_t2,,2
7ebbc047_u2_t2_s3,7ebbc047,"Categorization examples (rating buckets, tax brackets)",subtopic,7ebbc047_u2_t2,,3
7ebbc047_u2_t3,7ebbc047,Set Operations Overview,topic,7ebbc047_u2,Set operations combine results of two or more SELECT queries into one result. They treat query results like mathematical sets. Example: UNION of two product tables from different regions gives a combined product list.,3
7ebbc047_u2_t3_s1,7ebbc047,UNION vs UNION ALL (deduplication vs duplicates),subtopic,7ebbc047_u2_t3,,1
7ebbc047_u2_t3_s2,7ebbc047,INTERSECT: common rows between queries,subtopic,7ebbc047_u2_t3,,2
7ebbc047_u2_t3_s3,7ebbc047,EXCEPT / MINUS: rows in first query not in second,subtopic,7ebbc047_u2_t3,,3
7ebbc047_u2_t4,7ebbc047,Rules & Applying Set Operations,topic,7ebbc047_u2,Set operations have strict rules: both queries must return the same number of columns with compatible data types. Column names in the result come from the first SELECT. Example: Combining two SELECTs where one has 3 columns and the other has 2 will error.,4
7ebbc047_u2_t4_s1,7ebbc047,Same number of columns and compatible data types required,subtopic,7ebbc047_u2_t4,,1
7ebbc047_u2_t4_s2,7ebbc047,Column order must match across SELECTs,subtopic,7ebbc047_u2_t4,,2
7ebbc047_u2_t4_s3,7ebbc047,Combining multiple SELECTs to query actors/movies sets,subtopic,7ebbc047_u2_t4,,3
7ebbc047_u2_t5,7ebbc047,Ordering and Pagination with Set Operations,topic,7ebbc047_u2,"You can sort and paginate the combined result of set operations but only at the very end, not inside individual queries. Example: UNION two sales tables then ORDER BY sale_date DESC LIMIT 10 gives the ten most recent transactions.",5
7ebbc047_u2_t5_s1,7ebbc047,ORDER BY allowed only once at the end of the combined query,subtopic,7ebbc047_u2_t5,,1
7ebbc047_u2_t5_s2,7ebbc047,Sorting must reference columns from the first SELECT (use positions),subtopic,7ebbc047_u2_t5,,2
7ebbc047_u2_t5_s3,7ebbc047,LIMIT and OFFSET applied at the end for pagination,subtopic,7ebbc047_u2_t5,,3
7ebbc047_u3,7ebbc047,SQL Expressions & Functions,unit,,,3
7ebbc047_u3_t1,7ebbc047,Expressions & Arithmetic Operators,topic,7ebbc047_u3,SQL supports arithmetic expressions directly in queries so you can compute new values without changing the data. Example: SELECT price * 1.18 AS price_with_tax FROM products computes tax-inclusive price on the fly.,1
7ebbc047_u3_t1_s1,7ebbc047,"Addition, subtraction, multiplication, division, modulo",subtopic,7ebbc047_u3_t1,,1
7ebbc047_u3_t1_s2,7ebbc047,"Expressions across data types (int, float, string, datetime)",subtopic,7ebbc047_u3_t1,,2
7ebbc047_u3_t1_s3,7ebbc047,String concatenation using ||,subtopic,7ebbc047_u3_t1,,3
7ebbc047_u3_t2,7ebbc047,Expressions in SQL Clauses,topic,7ebbc047_u3,"Expressions appear in SELECT (computed columns), WHERE (filters), UPDATE (new values) and HAVING (aggregate filters). This makes SQL very flexible. Example: UPDATE products SET price = price * 1.1 raises all prices by 10% in one statement.",2
7ebbc047_u3_t2_s1,7ebbc047,SELECT: computed columns and aliases,subtopic,7ebbc047_u3_t2,,1
7ebbc047_u3_t2_s2,7ebbc047,WHERE: filtering using expressions,subtopic,7ebbc047_u3_t2,,2
7ebbc047_u3_t2_s3,7ebbc047,UPDATE: assigning values using expressions,subtopic,7ebbc047_u3_t2,,3
7ebbc047_u3_t2_s4,7ebbc047,HAVING: using expressions with aggregates,subtopic,7ebbc047_u3_t2,,4
7ebbc047_u3_t3,7ebbc047,Date Functions (strftime),topic,7ebbc047_u3,"strftime extracts or formats parts of date/time values in SQLite. It is the main date function available. Example: strftime('%Y', order_date) extracts the year so you can GROUP BY year for annual sales reports.",3
7ebbc047_u3_t3_s1,7ebbc047,"strftime formats (%Y, %m, %d, %H) and extraction",subtopic,7ebbc047_u3_t3,,1
7ebbc047_u3_t3_s2,7ebbc047,Using strftime for filtering (WHERE) and grouping (GROUP BY),subtopic,7ebbc047_u3_t3,,2
7ebbc047_u3_t3_s3,7ebbc047,Applying strftime for monthly/annual analyses,subtopic,7ebbc047_u3_t3,,3
7ebbc047_u3_t4,7ebbc047,CAST and Type Conversion,topic,7ebbc047_u3,"CAST converts a value from one data type to another. It is important when comparing or computing values of mixed types. Example: CAST(strftime('%Y', date_col) AS INT) converts the extracted year string to an integer for numeric comparisons.",4
7ebbc047_u3_t4_s1,7ebbc047,CAST(value AS data_type) syntax,subtopic,7ebbc047_u3_t4,,1
7ebbc047_u3_t4_s2,7ebbc047,Converting strftime results to INT for numeric comparisons,subtopic,7ebbc047_u3_t4,,2
7ebbc047_u3_t4_s3,7ebbc047,When and why to cast in WHERE/GROUP BY clauses,subtopic,7ebbc047_u3_t4,,3
7ebbc047_u3_t5,7ebbc047,Arithmetic Functions,topic,7ebbc047_u3,"SQL provides built-in math functions for rounding and bounding numbers. These are useful for formatting output and binning data. Example: ROUND(AVG(price), 2) displays average price to two decimal places in a clean report.",5
7ebbc047_u3_t5_s1,7ebbc047,FLOOR and CEIL behavior,subtopic,7ebbc047_u3_t5,,1
7ebbc047_u3_t5_s2,7ebbc047,"ROUND(number, decimal_places) usage",subtopic,7ebbc047_u3_t5,,2
7ebbc047_u3_t5_s3,7ebbc047,Using arithmetic functions in result formatting and reports,subtopic,7ebbc047_u3_t5,,3
7ebbc047_u3_t6,7ebbc047,String Functions,topic,7ebbc047_u3,"String functions transform text values inside queries. UPPER and LOWER normalize case for comparisons and display. Example: WHERE LOWER(name) LIKE '%apple%' finds products named 'Apple', 'APPLE' or 'apple' without case sensitivity issues.",6
7ebbc047_u3_t6_s1,7ebbc047,UPPER() and LOWER() for case-insensitive searches,subtopic,7ebbc047_u3_t6,,1
7ebbc047_u3_t6_s2,7ebbc047,Using functions with LIKE,subtopic,7ebbc047_u3_t6,,2
7ebbc047_u3_t6_s3,7ebbc047,Formatting and transforming string values,subtopic,7ebbc047_u3_t6,,3
7ebbc047_u4,7ebbc047,Group By,unit,,,4
7ebbc047_u4_t1,7ebbc047,GROUP BY basics,topic,7ebbc047_u4,GROUP BY splits table rows into groups sharing the same value in one or more columns and then applies an aggregate function to each group. Example: GROUP BY department with COUNT(*) counts employees in each department separately.,1
7ebbc047_u4_t1_s1,7ebbc047,Groups rows with identical values of specified columns,subtopic,7ebbc047_u4_t1,,1
7ebbc047_u4_t1_s2,7ebbc047,"Syntax: SELECT c1, aggregate_function(c2) FROM table GROUP BY c1",subtopic,7ebbc047_u4_t1,,2
7ebbc047_u4_t1_s3,7ebbc047,Apply aggregates per group for finer analytics,subtopic,7ebbc047_u4_t1,,3
7ebbc047_u4_t2,7ebbc047,GROUP BY on multiple columns,topic,7ebbc047_u4,"Grouping by two or more columns creates a group for each unique combination of values. Example: GROUP BY player, year creates separate groups for 'Sachin in 2001', 'Sachin in 2002', 'Dravid in 2001' etc.",2
7ebbc047_u4_t2_s1,7ebbc047,"Group by unique combinations (e.g., name, year)",subtopic,7ebbc047_u4_t2,,1
7ebbc047_u4_t2_s2,7ebbc047,"Syntax: GROUP BY c1, c2",subtopic,7ebbc047_u4_t2,,2
7ebbc047_u4_t2_s3,7ebbc047,Example: total runs per player per year,subtopic,7ebbc047_u4_t2,,3
7ebbc047_u4_t3,7ebbc047,GROUP BY with WHERE,topic,7ebbc047_u4,"WHERE filters rows before grouping, so only matching rows enter the GROUP BY computation. Example: WHERE year = 2023 before GROUP BY player limits aggregation to 2023 data only.",3
7ebbc047_u4_t3_s1,7ebbc047,WHERE filters rows before grouping,subtopic,7ebbc047_u4_t3,,1
7ebbc047_u4_t3_s2,7ebbc047,"Syntax: SELECT c1, agg(c2) FROM table WHERE condition GROUP BY c1",subtopic,7ebbc047_u4_t3,,2
7ebbc047_u4_t3_s3,7ebbc047,Example: count half-centuries per player using WHERE score >= 50,subtopic,7ebbc047_u4_t3,,3
7ebbc047_u4_t4,7ebbc047,Common queries and outputs,topic,7ebbc047_u4,"Typical GROUP BY patterns cover totals, averages, maximums and counts per group. These are the bread-and-butter of analytical SQL. Example: Finding each player's highest score uses MAX(score) GROUP BY player.",4
7ebbc047_u4_t4_s1,7ebbc047,Total score per player (SUM(score) GROUP BY name),subtopic,7ebbc047_u4_t4,,1
7ebbc047_u4_t4_s2,7ebbc047,Maximum/average per player (MAX/AVG with GROUP BY),subtopic,7ebbc047_u4_t4,,2
7ebbc047_u4_t4_s3,7ebbc047,"Counts of events per group (e.g., total sixes per player)",subtopic,7ebbc047_u4_t4,,3
7ebbc047_u5,7ebbc047,Group By with HAVING,unit,,,5
7ebbc047_u5_t1,7ebbc047,HAVING clause,topic,7ebbc047_u5,"HAVING filters groups after aggregation, unlike WHERE which filters rows before. It lets you keep only groups that meet an aggregate condition. Example: HAVING COUNT(*) > 5 keeps only groups with more than five rows.",1
7ebbc047_u5_t1_s1,7ebbc047,Filters groups after aggregation,subtopic,7ebbc047_u5_t1,,1
7ebbc047_u5_t1_s2,7ebbc047,Syntax: SELECT ... GROUP BY ... HAVING condition,subtopic,7ebbc047_u5_t1,,2
7ebbc047_u5_t1_s3,7ebbc047,Use HAVING to apply conditions on aggregated values,subtopic,7ebbc047_u5_t1,,3
7ebbc047_u5_t2,7ebbc047,WHERE vs HAVING (combined usage),topic,7ebbc047_u5,"WHERE and HAVING can be used together in one query. WHERE pre-filters rows, GROUP BY groups them, then HAVING post-filters groups. Example: WHERE year=2023 limits rows; HAVING AVG(score)>40 then keeps only high-performing groups.",2
7ebbc047_u5_t2_s1,7ebbc047,WHERE filters rows before grouping,subtopic,7ebbc047_u5_t2,,1
7ebbc047_u5_t2_s2,7ebbc047,HAVING filters groups after aggregation,subtopic,7ebbc047_u5_t2,,2
7ebbc047_u5_t2_s3,7ebbc047,Typical order: WHERE → GROUP BY → HAVING,subtopic,7ebbc047_u5_t2,,3
7ebbc047_u5_t3,7ebbc047,Examples and practical use,topic,7ebbc047_u5,"HAVING shines in business analytics — finding top customers, active products or standout performers. Example: HAVING SUM(purchases) > 1000 identifies high-value customers from an orders table.",3
7ebbc047_u5_t3_s1,7ebbc047,Example: players with more than one half-century (HAVING COUNT(*) > 1),subtopic,7ebbc047_u5_t3,,1
7ebbc047_u5_t3_s2,7ebbc047,"Use HAVING to restrict aggregated results (e.g., totals, counts)",subtopic,7ebbc047_u5_t3,,2
7ebbc047_u6,7ebbc047,Introduction to Databases  | Part - 1 & 2,unit,,,6
7ebbc047_u6_t1,7ebbc047,Fundamental concepts,topic,7ebbc047_u6,"Databases are organized collections of data. A DBMS is the software that manages databases, allowing multiple users and apps to store, retrieve and manipulate data safely. Example: A hospital uses a DBMS to store patient records accessible by doctors, nurses and billing simultaneously.",1
7ebbc047_u6_t1_s1,7ebbc047,Data,subtopic,7ebbc047_u6_t1,,1
7ebbc047_u6_t1_s2,7ebbc047,Database,subtopic,7ebbc047_u6_t1,,2
7ebbc047_u6_t1_s3,7ebbc047,Database Management System (DBMS),subtopic,7ebbc047_u6_t1,,3
7ebbc047_u6_t2,7ebbc047,Advantages of DBMS,topic,7ebbc047_u6,"A DBMS provides security, ease of use, data durability and high performance — all in one system. Example: Instead of each department keeping its own spreadsheet, a DBMS centralizes data so everyone works from one consistent source.",2
7ebbc047_u6_t2_s1,7ebbc047,Security,subtopic,7ebbc047_u6_t2,,1
7ebbc047_u6_t2_s2,7ebbc047,Ease of use,subtopic,7ebbc047_u6_t2,,2
7ebbc047_u6_t2_s3,7ebbc047,Durability and availability,subtopic,7ebbc047_u6_t2,,3
7ebbc047_u6_t2_s4,7ebbc047,Performance,subtopic,7ebbc047_u6_t2,,4
7ebbc047_u6_t3,7ebbc047,Types of databases,topic,7ebbc047_u6,"Databases are broadly classified as relational (table-based, uses SQL) and non-relational (flexible schemas, uses various formats). The right type depends on the application's data structure and query needs.",3
7ebbc047_u6_t3_s1,7ebbc047,Relational databases (tabular),subtopic,7ebbc047_u6_t3,,1
7ebbc047_u6_t3_s2,7ebbc047,Non-relational databases (non-tabular),subtopic,7ebbc047_u6_t3,,2
7ebbc047_u6_t3_s3,7ebbc047,Choosing database based on requirements,subtopic,7ebbc047_u6_t3,,3
7ebbc047_u6_t4,7ebbc047,Examples of DBMS,topic,7ebbc047_u6,Many DBMS products exist for different use cases. Relational ones use SQL; non-relational ones use various APIs. Example: Small apps use SQLite (file-based); large enterprises use Oracle or IBM DB2; web-scale NoSQL needs use MongoDB or Cassandra.,4
7ebbc047_u6_t4_s1,7ebbc047,Relational DBMS: Oracle,subtopic,7ebbc047_u6_t4,,1
7ebbc047_u6_t4_s2,7ebbc047,MySQL,subtopic,7ebbc047_u6_t4,,2
7ebbc047_u6_t4_s3,7ebbc047,PostgreSQL,subtopic,7ebbc047_u6_t4,,3
7ebbc047_u6_t4_s4,7ebbc047,SQL Server,subtopic,7ebbc047_u6_t4,,4
7ebbc047_u6_t4_s5,7ebbc047,SQLite,subtopic,7ebbc047_u6_t4,,5
7ebbc047_u6_t4_s6,7ebbc047,IBM DB2,subtopic,7ebbc047_u6_t4,,6
7ebbc047_u6_t4_s7,7ebbc047,Non-relational DBMS: MongoDB,subtopic,7ebbc047_u6_t4,,7
7ebbc047_u6_t4_s8,7ebbc047,Cassandra,subtopic,7ebbc047_u6_t4,,8
7ebbc047_u6_t4_s9,7ebbc047,Redis,subtopic,7ebbc047_u6_t4,,9
7ebbc047_u6_t4_s10,7ebbc047,DynamoDB,subtopic,7ebbc047_u6_t4,,10
7ebbc047_u6_t4_s11,7ebbc047,CouchDB,subtopic,7ebbc047_u6_t4,,11
7ebbc047_u6_t4_s12,7ebbc047,Elasticsearch,subtopic,7ebbc047_u6_t4,,12
7ebbc047_u7,7ebbc047,Introduction to SQL | Part - 1 & 2,unit,,,7
7ebbc047_u7_t1,7ebbc047,SQL overview,topic,7ebbc047_u7,"SQL (Structured Query Language) is the standard language for communicating with relational databases. It is declarative — you say what you want, not how to get it. Example: SELECT name FROM students is all you write; the DBMS figures out how to retrieve it.",1
7ebbc047_u7_t1_s1,7ebbc047,Definition and purpose,subtopic,7ebbc047_u7_t1,,1
7ebbc047_u7_t1_s2,7ebbc047,Declarative nature,subtopic,7ebbc047_u7_t1,,2
7ebbc047_u7_t1_s3,7ebbc047,CRUD operations (create,subtopic,7ebbc047_u7_t1,,3
7ebbc047_u7_t1_s4,7ebbc047,retrieve,subtopic,7ebbc047_u7_t1,,4
7ebbc047_u7_t1_s5,7ebbc047,update,subtopic,7ebbc047_u7_t1,,5
7ebbc047_u7_t1_s6,7ebbc047,delete),subtopic,7ebbc047_u7_t1,,6
7ebbc047_u7_t2,7ebbc047,Data types,topic,7ebbc047_u7,"SQL columns have defined data types that control what values they can store and how operations on them work. Example: An AGE column with INT type rejects the value 'twenty-five', preventing bad data at the database level.",2
7ebbc047_u7_t2_s1,7ebbc047,Integer,subtopic,7ebbc047_u7_t2,,1
7ebbc047_u7_t2_s2,7ebbc047,Float,subtopic,7ebbc047_u7_t2,,2
7ebbc047_u7_t2_s3,7ebbc047,String types: VARCHAR,subtopic,7ebbc047_u7_t2,,3
7ebbc047_u7_t2_s4,7ebbc047,TEXT,subtopic,7ebbc047_u7_t2,,4
7ebbc047_u7_t2_s5,7ebbc047,Date,subtopic,7ebbc047_u7_t2,,5
7ebbc047_u7_t2_s6,7ebbc047,Time,subtopic,7ebbc047_u7_t2,,6
7ebbc047_u7_t2_s7,7ebbc047,Datetime,subtopic,7ebbc047_u7_t2,,7
7ebbc047_u7_t2_s8,7ebbc047,Boolean,subtopic,7ebbc047_u7_t2,,8
7ebbc047_u7_t3,7ebbc047,Create table and schema inspection,topic,7ebbc047_u7,"CREATE TABLE defines the structure of a new table. Once created, you can inspect the schema to see column names and types. Example: After CREATE TABLE students, run PRAGMA TABLE_INFO(students) in SQLite to see all columns and their types.",3
7ebbc047_u7_t3_s1,7ebbc047,CREATE TABLE syntax,subtopic,7ebbc047_u7_t3,,1
7ebbc047_u7_t3_s2,7ebbc047,Column datatypes and defaults,subtopic,7ebbc047_u7_t3,,2
7ebbc047_u7_t3_s3,7ebbc047,PRAGMA TABLE_INFO to view schema,subtopic,7ebbc047_u7_t3,,3
7ebbc047_u7_t4,7ebbc047,Inserting rows,topic,7ebbc047_u7,"INSERT INTO adds new rows to a table. You specify the table name, optionally column names and then the values. Example: INSERT INTO students (name, grade) VALUES ('Alice', 'A') adds one student record.",4
7ebbc047_u7_t4_s1,7ebbc047,INSERT INTO syntax for single and multiple rows,subtopic,7ebbc047_u7_t4,,1
7ebbc047_u7_t4_s2,7ebbc047,Matching values to columns,subtopic,7ebbc047_u7_t4,,2
7ebbc047_u7_t4_s3,7ebbc047,Common mistakes (mismatched count,subtopic,7ebbc047_u7_t4,,3
7ebbc047_u7_t4_s4,7ebbc047,wrong table,subtopic,7ebbc047_u7_t4,,4
7ebbc047_u7_t4_s5,7ebbc047,extra parentheses,subtopic,7ebbc047_u7_t4,,5
7ebbc047_u7_t4_s6,7ebbc047,datatype issues),subtopic,7ebbc047_u7_t4,,6
7ebbc047_u7_t5,7ebbc047,Retrieving data with SELECT,topic,7ebbc047_u7,"SELECT is the most used SQL command. It retrieves rows from a table, optionally filtering with WHERE and limiting columns with a column list. Example: SELECT name, email FROM users WHERE active = 1 fetches only active users' names and emails.",5
7ebbc047_u7_t5_s1,7ebbc047,SELECT specific columns vs SELECT *,subtopic,7ebbc047_u7_t5,,1
7ebbc047_u7_t5_s2,7ebbc047,Filtering rows with WHERE,subtopic,7ebbc047_u7_t5,,2
7ebbc047_u7_t5_s3,7ebbc047,Case insensitivity and best practices,subtopic,7ebbc047_u7_t5,,3
7ebbc047_u7_t6,7ebbc047,Updating and deleting data,topic,7ebbc047_u7,UPDATE modifies existing rows; DELETE removes them. Always use WHERE to target specific rows — omitting WHERE affects all rows. Example: DELETE FROM sessions (no WHERE) wipes every session in the table.,6
7ebbc047_u7_t6_s1,7ebbc047,UPDATE syntax (all rows vs filtered),subtopic,7ebbc047_u7_t6,,1
7ebbc047_u7_t6_s2,7ebbc047,DELETE syntax (all rows vs filtered),subtopic,7ebbc047_u7_t6,,2
7ebbc047_u7_t6_s3,7ebbc047,DROP TABLE vs DELETE,subtopic,7ebbc047_u7_t6,,3
7ebbc047_u7_t7,7ebbc047,Altering table structure,topic,7ebbc047_u7,"ALTER TABLE changes a table's structure after creation — adding, renaming or dropping columns. Example: ALTER TABLE users ADD COLUMN phone TEXT adds a phone column to an existing users table without losing any data.",7
7ebbc047_u7_t7_s1,7ebbc047,ALTER TABLE ADD COLUMN,subtopic,7ebbc047_u7_t7,,1
7ebbc047_u7_t7_s2,7ebbc047,ALTER TABLE RENAME COLUMN,subtopic,7ebbc047_u7_t7,,2
7ebbc047_u7_t7_s3,7ebbc047,ALTER TABLE DROP COLUMN,subtopic,7ebbc047_u7_t7,,3
7ebbc047_u7_t7_s4,7ebbc047,Default values for newly added columns,subtopic,7ebbc047_u7_t7,,4
7ebbc047_u8,7ebbc047,Querying with SQL | Part - 1,unit,,,8
7ebbc047_u8_t1,7ebbc047,Comparison Operators,topic,7ebbc047_u8,Comparison operators filter rows in WHERE clauses by comparing column values to constants or other columns. They are the most basic filtering tool. Example: WHERE price < 500 selects only affordable products from a catalog.,1
7ebbc047_u8_t1_s1,7ebbc047,"Operators: =, <>, <, <=, >, >=",subtopic,7ebbc047_u8_t1,,1
7ebbc047_u8_t1_s2,7ebbc047,"Use in WHERE to filter by category, price, brand, rating",subtopic,7ebbc047_u8_t1,,2
7ebbc047_u8_t1_s3,7ebbc047,"Example queries: category = 'Food', category <> 'Food'",subtopic,7ebbc047_u8_t1,,3
7ebbc047_u8_t1_s4,7ebbc047,Practice: rating > 4.5; price <= 1000; brand = 'Puma'; exclude 'Gadgets',subtopic,7ebbc047_u8_t1,,4
7ebbc047_u8_t2,7ebbc047,String Operations (LIKE),topic,7ebbc047_u8,LIKE enables pattern matching on string columns using wildcards. It is useful when you do not know the exact value. Example: WHERE name LIKE '%Phone%' finds all products with 'Phone' anywhere in their name.,2
7ebbc047_u8_t2_s1,7ebbc047,"Wildcards: % (zero or more), _ (single character)",subtopic,7ebbc047_u8_t2,,1
7ebbc047_u8_t2_s2,7ebbc047,"Patterns: exact match, starts with, ends with, contains",subtopic,7ebbc047_u8_t2,,2
7ebbc047_u8_t2_s3,7ebbc047,Syntax: WHERE column LIKE pattern,subtopic,7ebbc047_u8_t2,,3
7ebbc047_u8_t2_s4,7ebbc047,"Examples: name LIKE 'Bourbon%', name LIKE '%Smart%', brand LIKE '_____'",subtopic,7ebbc047_u8_t2,,4
7ebbc047_u8_t2_s5,7ebbc047,Practice: category = 'Food'; name containing 'Cake'; name ends with 'T-Shirt',subtopic,7ebbc047_u8_t2,,5
7ebbc047_u9,7ebbc047,Querying with SQL | Part - 2,unit,,,9
7ebbc047_u9_t1,7ebbc047,"Logical Operators (AND, OR, NOT)",topic,7ebbc047_u9,Logical operators combine multiple conditions in WHERE. AND requires all conditions true; OR requires at least one; NOT inverts a condition. Example: WHERE price < 500 AND rating > 4 finds affordable AND well-rated products simultaneously.,1
7ebbc047_u9_t1_s1,7ebbc047,AND: rows satisfying all conditions,subtopic,7ebbc047_u9_t1,,1
7ebbc047_u9_t1_s2,7ebbc047,OR: rows satisfying any condition,subtopic,7ebbc047_u9_t1,,2
7ebbc047_u9_t1_s3,7ebbc047,"NOT: negate a condition (e.g., NOT name LIKE '%Cake%')",subtopic,7ebbc047_u9_t1,,3
7ebbc047_u9_t1_s4,7ebbc047,Examples combining comparisons and string patterns,subtopic,7ebbc047_u9_t1,,4
7ebbc047_u9_t2,7ebbc047,Operator Precedence & Grouping,topic,7ebbc047_u9,"SQL evaluates NOT before AND before OR. Wrong precedence assumptions lead to unexpected results. Parentheses override default order. Example: brand='A' OR brand='B' AND price<100 evaluates AND first, which may not be what you intend.",2
7ebbc047_u9_t2_s1,7ebbc047,Precedence order: NOT > AND > OR,subtopic,7ebbc047_u9_t2,,1
7ebbc047_u9_t2_s2,7ebbc047,Parentheses to enforce intended evaluation,subtopic,7ebbc047_u9_t2,,2
7ebbc047_u9_t2_s3,7ebbc047,Example: (brand = 'Redmi' AND rating > 4) OR brand = 'OnePlus',subtopic,7ebbc047_u9_t2,,3
7ebbc047_u9_t3,7ebbc047,Compound Queries & Common Pitfalls,topic,7ebbc047_u9,Combining many logical operators without parentheses often produces bugs that are hard to spot. Always test compound conditions with small datasets. Example: A missing parenthesis in a multi-brand filter can silently include or exclude thousands of rows.,3
7ebbc047_u9_t3_s1,7ebbc047,Combining multiple logical operators without parentheses causes errors,subtopic,7ebbc047_u9_t3,,1
7ebbc047_u9_t3_s2,7ebbc047,"Typical use cases: multi-condition filters for price, brand, name",subtopic,7ebbc047_u9_t3,,2
7ebbc047_u9_t3_s3,7ebbc047,Practice: exclude names containing 'Jeans'; combine brand lists and exclusions,subtopic,7ebbc047_u9_t3,,3
7ebbc047_u10,7ebbc047,Querying with SQL | Part - 3 & 4,unit,,,10
7ebbc047_u10_t1,7ebbc047,IN and BETWEEN,topic,7ebbc047_u10,"IN and BETWEEN are shorthand operators that simplify common filtering patterns. IN replaces multiple OR conditions; BETWEEN replaces two inequalities. Example: brand IN ('Nike','Puma','Adidas') is cleaner than three separate OR conditions.",1
